,selected_text,sentiment,text,textID
87,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",cd0d522bb1
88,i miss you bby,negative,i miss you bby      wish you were going tomorrow to make me do good.,bffa3ddd61
89,cool,positive, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,9339ee8e0b
90,Love it there,positive, SWEEEEET - San Fran is awesome!!!!  Love it there,a76f9cf8ce
91,_Mounce yes and it lasts way past my bedtime!,neutral,_Mounce yes and it lasts way past my bedtime!,4ce121e2ad
92,Hi  how are you doing ???  *just joined twitter...,neutral, Hi  how are you doing ???  *just joined twitter...*,a3de81e1ba
93,tired,negative,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,55bacda5eb
94,eating ice cream and then getting ready for graduation.,neutral,eating ice cream and then getting ready for graduation.,b63ed6da62
95,Happy Mothers day to all you Mums out there,positive,Happy Mothers day to all you Mums out there,4c41a35a2a
96,freaked,negative," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",61a8e11e8a
97,unfortunately,negative, hemp cloth is marvelous but unfortunately no,447dc22c81
98,Gonna read a story bout adam lambert online then bed. Nighty night,neutral,Gonna read a story bout adam lambert online then bed. Nighty night,3408db03a3
99,best,positive, We saw that in none 3D - the baddie`s the best,92e1b6846e
100,Pretty,positive,4am. And Im on the beach. Pretty,2207d982bc
101,"Certainly not Cheers than, huh?",neutral," Certainly not Cheers than, huh?",15e01e1749
102,"horrible,",negative,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",ebcdf07ac5
103,busy,negative,i realy wanted to go out cause its so nice but everybodys busy,fd9fb4f1ad
104,Awesome.,positive, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,6b018d3d2d
105,at least I get to watch over time  Let`s go Pens!!,neutral,at least I get to watch over time  Let`s go Pens!!,327a009a7d
106,cool i wear black most of the time when i go out,neutral, cool i wear black most of the time when i go out,d0d3c6f298
107,thanks,positive, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,40649553ef
108,safe,positive, have a safe trip joshy poo.......you`ll knock them dead at your speech,561b44a42f
109,I wish I was allowed to go,positive," woof, I wish I was allowed to go",a05aea73d7
110,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me,neutral,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,9c4817f73b
111,has tickets.......?,neutral,  has tickets.......?,f0c1601d8b
112,"Thank you,",positive,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",d421fbd332
113,ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,99b7ec4b0b
114,I love my,positive,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",a655fbb5eb
115,I don`t feel confident,negative,So many tests todayyy  I don`t feel confident about anyy.,43e9a93104
116,sad.,negative,graduation is done  im a little sad.. anyone want to hang out???,401869d615
117,hahaa your awesomee !,positive, hahaa your awesomee !,9843c4688e
118,awesomeeeee,positive,holy smokes! star trek was freaking awesomeeeee,87fbf14655
119,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",22d1806fa0
120,"I had it! On my itunes, but then I lost all my songs.",neutral," I had it! On my itunes, but then I lost all my songs.",9d2cffd953
121,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,f78761f7ec
122,Not looking forward,negative,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",66057d58c2
123,Poor you,negative," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",af90ad5989
124,not well,negative,not well,f0460d611d
125,Not a prob,positive, Not a prob hun,6649f3558c
126,"at dads, watching some mtv and am going on sims2 in a minutee",neutral,"at dads, watching some mtv and am going on sims2 in a minutee",24532ab83c
127,Absolutely,neutral, Absolutely,8e1583cb08
128,what`s the matter chickadee?,neutral, what`s the matter chickadee?,4ea61dbc7a
129,y adore,positive, hey mia!  totally adore your music.  when will your cd be out?,94f67cfa6d
130,good,positive,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",29dfaf5e3b
131,I love him too,positive, =O you need to ask him something? Lmao I love him too,974b35f889
132,painful.,negative, those splinters look very painful...but you were being very heroic saving mr. Pickle,b495300bbf
133,sad?,negative, why are you sad?,504539e6ec
134,e nice,positive, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,6903cb08f2
135,i wish,positive,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,1996048e7a
136,Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,c6d0c7676c
137,"Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",ef74bab7f3
138,Humous and Dorito`s.... Oh yes,neutral,Humous and Dorito`s.... Oh yes,f3cf8ec01b
139,"missed all the awesome weather,",negative,"missed all the awesome weather, because she was in a movie!",cb1b0d191d
140,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,3e67a75303
141,terrible!,negative,"These kids are terrible! If I was in Good Evans, I`d call Childline",997a62f83f
142,"Unfortunatley,",negative,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",7e1757d4f0
143,"That sucks, tho.",negative," What`s sad is that I actually had to google that term. That sucks, tho.",254546cd2c
144,Hate fighting,negative,Hate fighting,7e4ed52c4a
145,"I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral," I watched that too!!! I didnt want her to win, but she put up a good fight..lol",5069ae7a15
146,Car-warmed Sprite tastes like sore throat,negative,Car-warmed Sprite tastes like sore throat,48cdcd5f28
147,Just came 11th in cross country and beat dumbo,neutral,Just came 11th in cross country and beat dumbo,1b1b02af59
148,enjoyable.,positive,Candle wax is very enjoyable.,ae71041e21
149,endearing-,positive," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",11c10e3fc5
150,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,19526ac03e
151,goooooddd morning tweets!!,positive,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,960bbdc0c3
152,hate,negative, me too. I hate my computer so much..,fd285fe74a
153,fine!,positive, fine! Going to do my big walk today 20 or so miles,a5a1c996c0
154,i don`t like the other ones.,negative,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,20ec7c7c32
155,Mmmmmmmm... ? it in the morning,neutral,Mmmmmmmm... ? it in the morning,b948984e8d
156,me neither,neutral, me neither,6824c44c21
157,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",02d140362f
158,Bugger. forgot I still have washing in my machine,negative,Bugger. forgot I still have washing in my machine,5f93cc70ff
159,"sending love, blessings & healing thoughts to you & family  peace",positive,"_Laurie sending love, blessings & healing thoughts to you & family  peace",4e6a5c0034
160,.really bad,negative,My back hurts...really bad,e4e9b8713a
161,"ah yes, I know that feeling",neutral," ah yes, I know that feeling",08975f62a8
162,Night of the cookers with my dad,neutral,Night of the cookers with my dad,4a1ce7dc3b
163,brutal,negative,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,328a0e76bd
164,Nope I am in Coquitlam,neutral, Nope I am in Coquitlam,abbd0db2a5
165,boring,negative, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,940eb93dd5
166,p sounds like fun,positive,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,c78bf59e67
167,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,e73425ffdc
168,great,positive,Few Bevvies 2day in twn..great on a day off!!,e56eeb4968
169,excited,positive,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,7162d447ab
170,good morning,positive, good morning,f3d95b57b1
171,its the best show EVER!,positive, its the best show EVER!,5e4eac2b2e
172,messed,negative,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,bc02870b7d
173,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,80e45e833f
174,I want to know when the auditions are Mander! Text or...reply please!,neutral, I want to know when the auditions are Mander! Text or...reply please!,f29df52d91
175,NOT THE SECRET NAMEREBECCA PLEASE,negative,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,079e4e3472
176,miss,negative, I miss my neice  can`t wait to see her bad n grown ****! Lol,557e676fe4
177,i need to get my computer fixed,neutral,i need to get my computer fixed,8d09044937
178,illness,negative,really hopes her car`s illness is not terminal...,9d3a1e0269
179,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",7ff2dbbe25
180,no sir...i woulda put honey...but i don`t have any,neutral, no sir...i woulda put honey...but i don`t have any,5a254fbb98
181,i totally loved it!,positive,who watched X-men origins: wolverine? i totally loved it! haha,417176c08e
182,i <3 you. u helped me thru the hrdest time of my life!,positive, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,2bf5c7dba7
183,sad,negative, I`m sad that I missed you guys last night!,8407ac30b0
184,Finally got a call for marriage counseling 3 days late....,neutral,Finally got a call for marriage counseling 3 days late....,6ed347b1a5
185,ok then,neutral, ok then,97625460cf
186,why baby?,neutral,_420 why baby?,32e4ffe225
187,sick!,negative,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,24ee55f264
188,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,82b75647fd
189,oww,negative,lost my tooth 2day whilst i was eating gum...oww,a0a306868a
190,happy 1 year! <3,positive,happy 1 year! <3,9b11b686ec
191,Goooooooooooood Morrrrrrrrning,positive,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",7e7bc11e45
192,*phew*  Will make a note in case anyone else runs into the same issueï¿½,neutral, *phew*  Will make a note in case anyone else runs into the same issueï¿½,28dbada620
193,WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,3e880ec28d
194,This diet is killing me,negative,I`m starving!! This diet is killing me but I can`t eat after 8pm,38271074d1
195,i talk to you,neutral, i talk to you,ef12a3d183
196,bored..,negative,im soo bored...im deffo missing my music channels,f0db54f5bf
197,e fun,positive, nite nite bday girl  have fun at concert,e651d415c6
198,"So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",931a866d3f
199,What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,7a718b23ef
200,lost my voice,negative,should be sleeping.  lost my voice a couple day ago.,a6fccce9db
201,hate,negative,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,c017d0c221
202,I`ve heard this fall. I`m waiting too!,neutral, I`ve heard this fall. I`m waiting too!,287755c5dd
203,more nightmares?  *huggles*,neutral, more nightmares?  *huggles*,58c435d2cf
204,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy,negative,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,e6ee6826df
205,headache,negative,going to bed its late and I have headache,01b2476dd7
206,happy,positive,happy mother`s day to all moms out there...,e02cf4af4c
207,Grabbing coffee from  then making mom breakfast,neutral,Grabbing coffee from  then making mom breakfast,2dc0dc0d5d
208,going to have fun,positive,im thinking that im going to have fun tonight....and maybe some changes are coming,1b13ed8b4b
209,thanks. before the major chop.,neutral, thanks. before the major chop.,b6b35af246
210,d thank you!,positive," Haha I know, I cant handle the fame!  and thank you!",375e74d063
211,just got up and updated my ipod,neutral,just got up and updated my ipod,4700be3234
212,HAHAHA,positive, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,e5c6a6bb5a
213,crush,positive, We never miss ICarly - my son has a huge crush on Miranda,4f84bea1cc
214,Saw James carville in the store today. His head is really that bald,neutral,Saw James carville in the store today. His head is really that bald,4c73ad2888
215,yellow for   ? http://blip.fm/~5z05g,neutral,yellow for   ? http://blip.fm/~5z05g,2dcd8766a8
216,which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral, which means you`re just going to have to come back to vancouver and have it our way! hahah,234093bef1
217,Feeling smooth,positive,Feeling smooth like chrome,ca832cad51
218,Ew traffic,negative,Ew traffic,a8734230b6
219,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",0b5c2a7d7c
220,your not alone...i need coffee too.,neutral,@_Ra_Ra_ your not alone...i need coffee too.,e70d294d95
221,Sounds like me,neutral, Sounds like me,f84b89a828
222,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,ee37bea884
223,I hate not having a bike..,negative,Walking to class. I hate not having a bike....especially mine.,242d92151a
224,_nesmith,neutral,_nesmith,f3a77c2b5e
225,This is worse than taxes.,negative,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",1d6411e9dd
226,JONAS BROTHERS - Live to party.                It`s rocking so hard,positive,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",151c10cc39
227,happy,positive,happy mother`s day to all the mothers in the world.,7b1927e748
228,would love to test it though.,positive,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",9a6f4d05d5
229,Fun night!,positive,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,0cb4504f2c
230,The exception for a short dude: Larenz fineass Tate yum,neutral,The exception for a short dude: Larenz fineass Tate yum,ae21c1ac38
231,I thought Wolverine was awesome.,positive,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",8f3e73cf09
232,Hopefully,positive,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",c7489a23fa
233,Yes i work 6 to 3...,neutral, Yes i work 6 to 3...,148ac38bea
234,"Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",641555ac70
235,Done at the spa   now meeting vic for some late lunch!,neutral,Done at the spa   now meeting vic for some late lunch!,4bda359cbb
236,Happy,positive,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,ed084a1fa7
237,Always have wanted to go to Oz,neutral, Always have wanted to go to Oz,1af124bc1c
238,Thx,neutral, Thx,e98226e842
239,luv,positive, http://twitpic.com/4jaz5 - Cool... luv it,85ec413e54
240,that`s why I need to be there,positive,  that`s why I need to be there...To represent the Blackberries,7df7221145
241,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,0ab8f9c4bc
242,If only we could ever actually be allowed to stay here and do that,neutral, If only we could ever actually be allowed to stay here and do that,06cad97de6
243,Let me know how that turns out!!,neutral, Let me know how that turns out!!,37f6bd5ac5
244,was that sass I detect?  As long as it isn`t back sass! Haha,neutral, was that sass I detect?  As long as it isn`t back sass! Haha,9bef0d7135
245,",ahaha",positive," yeah I was thinking about that ,ahaha",7436ec1a2c
246,Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral, Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,cf10e9309a
247,I`m not sleeping at all un,negative,I`m not sleeping at all until  accepts my appology,ce69e99e71
248,"Seriously,",negative,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",6402e14398
249,"I live for pain, bring it on",neutral," I live for pain, bring it on",914c40995f
250,"okay, i`m out for a while  back later!",neutral,"okay, i`m out for a while  back later!",258f37341e
251,g What is this powerblog challenge you keep talking about?  I`m a newbie followe,neutral,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,77ba0fee75
252,died.,positive,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,96a4ce0d47
